----------------------------------------------------------------------
Data values
----------------------------------------------------------------------
Data by Sector
Sector: #1 39% exposure, 58 km/hr windspeed
Sector: #26 68% exposure, 5 km/hr windspeed
Sector: #26 84% exposure, 27 km/hr windspeed
Sector: #27 12% exposure, 36 km/hr windspeed
Sector: #27 36% exposure, 34 km/hr windspeed
Sector: #28 67% exposure, 58 km/hr windspeed
Sector: #28 39% exposure, 11 km/hr windspeed
Sector: #29 49% exposure, 12 km/hr windspeed
Sector: #29 100% exposure, 44 km/hr windspeed
Sector: #32 38% exposure, 44 km/hr windspeed
Sector: #32 18% exposure, 8 km/hr windspeed
Sector: #33 6% exposure, 49 km/hr windspeed
Sector: #34 71% exposure, 36 km/hr windspeed
Sector: #34 35% exposure, 24 km/hr windspeed
Sector: #35 59% exposure, 12 km/hr windspeed
Sector: #36 43% exposure, 5 km/hr windspeed
Sector: #36 44% exposure, 39 km/hr windspeed
Sector: #37 53% exposure, 34 km/hr windspeed
Sector: #38 43% exposure, 3 km/hr windspeed
Sector: #38 71% exposure, 36 km/hr windspeed
Sector: #39 86% exposure, 6 km/hr windspeed
Sector: #39 59% exposure, 53 km/hr windspeed
Sector: #40 6% exposure, 55 km/hr windspeed
Sector: #41 100% exposure, 33 km/hr windspeed
Sector: #41 49% exposure, 14 km/hr windspeed
Sector: #41 4% exposure, 37 km/hr windspeed
Sector: #42 28% exposure, 23 km/hr windspeed
Sector: #42 35% exposure, 27 km/hr windspeed
Sector: #43 58% exposure, 50 km/hr windspeed
Sector: #43 71% exposure, 22 km/hr windspeed
Sector: #43 80% exposure, 10 km/hr windspeed
Sector: #44 24% exposure, 42 km/hr windspeed
Sector: #45 100% exposure, 13 km/hr windspeed
Sector: #45 46% exposure, 25 km/hr windspeed
Sector: #45 23% exposure, 26 km/hr windspeed
Sector: #45 68% exposure, 38 km/hr windspeed
Sector: #46 60% exposure, 22 km/hr windspeed
Sector: #46 9% exposure, 32 km/hr windspeed
Sector: #46 1% exposure, 24 km/hr windspeed
Sector: #47 50% exposure, 67 km/hr windspeed
Sector: #48 39% exposure, 34 km/hr windspeed
Sector: #48 65% exposure, 43 km/hr windspeed
Sector: #49 38% exposure, 60 km/hr windspeed
Sector: #49 28% exposure, 49 km/hr windspeed
Sector: #50 18% exposure, 5 km/hr windspeed
Sector: #50 33% exposure, 8 km/hr windspeed
Sector: #50 24% exposure, 17 km/hr windspeed
Sector: #50 94% exposure, 1 km/hr windspeed
Sector: #50 49% exposure, 25 km/hr windspeed
Sector: #50 63% exposure, 50 km/hr windspeed
Sector: #50 66% exposure, 19 km/hr windspeed
Sector: #51 78% exposure, 67 km/hr windspeed
Sector: #51 38% exposure, 5 km/hr windspeed
Sector: #52 69% exposure, 57 km/hr windspeed
Sector: #52 77% exposure, 33 km/hr windspeed
Sector: #53 84% exposure, 26 km/hr windspeed
Sector: #54 46% exposure, 27 km/hr windspeed
Sector: #54 79% exposure, 35 km/hr windspeed
Sector: #54 55% exposure, 42 km/hr windspeed
Sector: #54 47% exposure, 42 km/hr windspeed
Sector: #54 51% exposure, 9 km/hr windspeed
Sector: #56 39% exposure, 20 km/hr windspeed
Sector: #57 76% exposure, 38 km/hr windspeed
Sector: #57 83% exposure, 18 km/hr windspeed
Sector: #57 33% exposure, 28 km/hr windspeed
Sector: #57 87% exposure, 34 km/hr windspeed
Sector: #58 26% exposure, 23 km/hr windspeed
Sector: #58 89% exposure, 28 km/hr windspeed
Sector: #59 96% exposure, 7 km/hr windspeed
Sector: #59 1% exposure, 12 km/hr windspeed
Sector: #60 85% exposure, 45 km/hr windspeed
Sector: #61 45% exposure, 29 km/hr windspeed
Sector: #61 66% exposure, 22 km/hr windspeed
Sector: #61 7% exposure, 40 km/hr windspeed
Sector: #63 20% exposure, 34 km/hr windspeed
Sector: #63 75% exposure, 30 km/hr windspeed
Sector: #63 38% exposure, 58 km/hr windspeed
Sector: #64 62% exposure, 44 km/hr windspeed
Sector: #64 58% exposure, 25 km/hr windspeed
Sector: #64 35% exposure, 63 km/hr windspeed
Sector: #65 22% exposure, 10 km/hr windspeed
Sector: #65 54% exposure, 25 km/hr windspeed
Sector: #65 16% exposure, 26 km/hr windspeed
Sector: #66 97% exposure, 21 km/hr windspeed
Sector: #66 14% exposure, 41 km/hr windspeed
Sector: #67 27% exposure, 43 km/hr windspeed
Sector: #67 79% exposure, 34 km/hr windspeed
Sector: #67 36% exposure, 19 km/hr windspeed
Sector: #68 74% exposure, 45 km/hr windspeed
Sector: #68 11% exposure, 34 km/hr windspeed
Sector: #69 53% exposure, 31 km/hr windspeed
Sector: #69 25% exposure, 9 km/hr windspeed
Sector: #69 12% exposure, 56 km/hr windspeed
Sector: #69 27% exposure, 17 km/hr windspeed
Sector: #70 29% exposure, 2 km/hr windspeed
Sector: #70 27% exposure, 20 km/hr windspeed
Sector: #70 58% exposure, 17 km/hr windspeed
Sector: #71 43% exposure, 27 km/hr windspeed
Sector: #72 86% exposure, 33 km/hr windspeed
Sector: #74 2% exposure, 13 km/hr windspeed
Sector: #74 46% exposure, 27 km/hr windspeed
Sector: #74 22% exposure, 7 km/hr windspeed
Sector: #75 51% exposure, 18 km/hr windspeed
Sector: #75 100% exposure, 21 km/hr windspeed
Sector: #75 7% exposure, 20 km/hr windspeed
Sector: #76 58% exposure, 24 km/hr windspeed
Sector: #76 10% exposure, 38 km/hr windspeed
Sector: #76 47% exposure, 41 km/hr windspeed
Sector: #76 79% exposure, 35 km/hr windspeed
Sector: #76 17% exposure, 4 km/hr windspeed
Sector: #77 3% exposure, 27 km/hr windspeed
Sector: #78 26% exposure, 20 km/hr windspeed
Sector: #78 5% exposure, 12 km/hr windspeed
Sector: #78 66% exposure, 18 km/hr windspeed
Sector: #79 64% exposure, 10 km/hr windspeed
Sector: #79 60% exposure, 58 km/hr windspeed
Sector: #79 31% exposure, 32 km/hr windspeed
Sector: #80 6% exposure, 39 km/hr windspeed
Sector: #80 16% exposure, 33 km/hr windspeed
Sector: #80 56% exposure, 42 km/hr windspeed
Sector: #81 92% exposure, 14 km/hr windspeed
Sector: #82 54% exposure, 23 km/hr windspeed
Sector: #83 79% exposure, 28 km/hr windspeed
Sector: #83 11% exposure, 14 km/hr windspeed
Sector: #83 70% exposure, 35 km/hr windspeed
Sector: #84 1% exposure, 55 km/hr windspeed
Sector: #86 12% exposure, 31 km/hr windspeed
Sector: #86 52% exposure, 60 km/hr windspeed
Sector: #87 59% exposure, 38 km/hr windspeed
Sector: #88 2% exposure, 16 km/hr windspeed
Sector: #88 23% exposure, 18 km/hr windspeed
Sector: #88 14% exposure, 41 km/hr windspeed
Sector: #89 15% exposure, 16 km/hr windspeed
Sector: #89 3% exposure, 39 km/hr windspeed
Sector: #90 8% exposure, 48 km/hr windspeed
Sector: #90 55% exposure, 54 km/hr windspeed
Sector: #90 85% exposure, 21 km/hr windspeed
Sector: #91 45% exposure, 51 km/hr windspeed
Sector: #91 84% exposure, 20 km/hr windspeed
Sector: #91 79% exposure, 62 km/hr windspeed
Sector: #92 51% exposure, 65 km/hr windspeed
Sector: #92 1% exposure, 11 km/hr windspeed
Sector: #93 43% exposure, 24 km/hr windspeed
Sector: #93 52% exposure, 30 km/hr windspeed
Sector: #93 30% exposure, 46 km/hr windspeed
Sector: #93 26% exposure, 41 km/hr windspeed
Sector: #94 36% exposure, 29 km/hr windspeed
Sector: #94 95% exposure, 17 km/hr windspeed
Sector: #95 33% exposure, 15 km/hr windspeed
Sector: #95 69% exposure, 38 km/hr windspeed
Sector: #96 55% exposure, 9 km/hr windspeed
Sector: #96 85% exposure, 50 km/hr windspeed
Sector: #97 99% exposure, 42 km/hr windspeed
Sector: #98 59% exposure, 6 km/hr windspeed
Sector: #98 71% exposure, 45 km/hr windspeed
Sector: #99 63% exposure, 65 km/hr windspeed
Sector: #99 64% exposure, 57 km/hr windspeed
Sector: #99 40% exposure, 50 km/hr windspeed
Sector: #99 81% exposure, 40 km/hr windspeed
Sector: #99 72% exposure, 49 km/hr windspeed
Sector: #99 25% exposure, 21 km/hr windspeed
Sector: #101 13% exposure, 5 km/hr windspeed
Sector: #101 48% exposure, 5 km/hr windspeed
Sector: #102 42% exposure, 41 km/hr windspeed
Sector: #102 62% exposure, 22 km/hr windspeed
Sector: #102 99% exposure, 44 km/hr windspeed
Sector: #102 32% exposure, 28 km/hr windspeed
Sector: #102 82% exposure, 69 km/hr windspeed
Sector: #104 96% exposure, 27 km/hr windspeed
Sector: #104 28% exposure, 31 km/hr windspeed
Sector: #105 33% exposure, 13 km/hr windspeed
Sector: #106 90% exposure, 5 km/hr windspeed
Sector: #106 42% exposure, 15 km/hr windspeed
Sector: #107 12% exposure, 33 km/hr windspeed
Sector: #107 89% exposure, 35 km/hr windspeed
Sector: #107 2% exposure, 25 km/hr windspeed
Sector: #108 34% exposure, 6 km/hr windspeed
Sector: #108 97% exposure, 62 km/hr windspeed
Sector: #108 30% exposure, 10 km/hr windspeed
Sector: #108 9% exposure, 17 km/hr windspeed
Sector: #109 14% exposure, 22 km/hr windspeed
Sector: #109 15% exposure, 21 km/hr windspeed
Sector: #109 60% exposure, 9 km/hr windspeed
Sector: #110 14% exposure, 17 km/hr windspeed
Sector: #112 37% exposure, 37 km/hr windspeed
Sector: #112 72% exposure, 13 km/hr windspeed
Sector: #112 48% exposure, 55 km/hr windspeed
Sector: #113 43% exposure, 66 km/hr windspeed
Sector: #114 93% exposure, 37 km/hr windspeed
Sector: #115 82% exposure, 10 km/hr windspeed
Sector: #115 91% exposure, 14 km/hr windspeed
Sector: #116 58% exposure, 46 km/hr windspeed
Sector: #116 17% exposure, 4 km/hr windspeed
Sector: #116 70% exposure, 19 km/hr windspeed
Sector: #116 64% exposure, 33 km/hr windspeed
Sector: #117 52% exposure, 13 km/hr windspeed
Sector: #118 9% exposure, 19 km/hr windspeed
Sector: #118 97% exposure, 6 km/hr windspeed
Sector: #118 77% exposure, 11 km/hr windspeed
Sector: #118 50% exposure, 47 km/hr windspeed
Sector: #119 58% exposure, 9 km/hr windspeed
Sector: #119 30% exposure, 44 km/hr windspeed
Sector: #120 51% exposure, 38 km/hr windspeed
Sector: #121 17% exposure, 39 km/hr windspeed
Sector: #121 25% exposure, 48 km/hr windspeed
Sector: #121 41% exposure, 15 km/hr windspeed
Sector: #122 10% exposure, 11 km/hr windspeed
Sector: #125 69% exposure, 30 km/hr windspeed
Sector: #125 69% exposure, 21 km/hr windspeed
Sector: #126 66% exposure, 15 km/hr windspeed
Sector: #127 89% exposure, 53 km/hr windspeed
Sector: #128 40% exposure, 38 km/hr windspeed
Sector: #129 57% exposure, 20 km/hr windspeed
Sector: #129 53% exposure, 10 km/hr windspeed
Sector: #132 70% exposure, 46 km/hr windspeed
Sector: #132 10% exposure, 20 km/hr windspeed
Sector: #132 85% exposure, 43 km/hr windspeed
Sector: #132 17% exposure, 32 km/hr windspeed
Sector: #135 42% exposure, 35 km/hr windspeed
Sector: #136 44% exposure, 5 km/hr windspeed
Sector: #136 26% exposure, 65 km/hr windspeed
Sector: #138 28% exposure, 40 km/hr windspeed
Sector: #139 23% exposure, 37 km/hr windspeed
Sector: #140 63% exposure, 27 km/hr windspeed
Sector: #140 65% exposure, 14 km/hr windspeed
Sector: #141 65% exposure, 24 km/hr windspeed
Sector: #142 5% exposure, 51 km/hr windspeed
Sector: #142 83% exposure, 36 km/hr windspeed
Sector: #142 28% exposure, 42 km/hr windspeed
Sector: #143 91% exposure, 30 km/hr windspeed
Sector: #143 44% exposure, 60 km/hr windspeed
Sector: #145 15% exposure, 20 km/hr windspeed
Sector: #146 74% exposure, 13 km/hr windspeed
Sector: #146 24% exposure, 31 km/hr windspeed
Sector: #147 80% exposure, 21 km/hr windspeed
Sector: #148 48% exposure, 40 km/hr windspeed
Sector: #148 53% exposure, 8 km/hr windspeed
Sector: #149 87% exposure, 42 km/hr windspeed
Sector: #150 18% exposure, 17 km/hr windspeed
Sector: #150 9% exposure, 14 km/hr windspeed
Sector: #151 81% exposure, 25 km/hr windspeed
Sector: #151 81% exposure, 9 km/hr windspeed
Sector: #151 5% exposure, 46 km/hr windspeed
Sector: #152 82% exposure, 20 km/hr windspeed
Sector: #152 29% exposure, 36 km/hr windspeed
Sector: #152 91% exposure, 55 km/hr windspeed
Sector: #152 37% exposure, 29 km/hr windspeed
Sector: #153 12% exposure, 51 km/hr windspeed
Sector: #153 46% exposure, 39 km/hr windspeed
Sector: #153 60% exposure, 44 km/hr windspeed
Sector: #153 58% exposure, 1 km/hr windspeed
Sector: #154 20% exposure, 8 km/hr windspeed
Sector: #155 23% exposure, 57 km/hr windspeed
Sector: #155 74% exposure, 58 km/hr windspeed
Sector: #155 5% exposure, 44 km/hr windspeed
Sector: #155 35% exposure, 32 km/hr windspeed
Sector: #156 53% exposure, 12 km/hr windspeed
Sector: #156 50% exposure, 10 km/hr windspeed
Sector: #157 41% exposure, 16 km/hr windspeed
Sector: #157 14% exposure, 57 km/hr windspeed
Sector: #158 46% exposure, 14 km/hr windspeed
Sector: #158 37% exposure, 10 km/hr windspeed
Sector: #158 52% exposure, 29 km/hr windspeed
Sector: #158 25% exposure, 10 km/hr windspeed
Sector: #158 33% exposure, 23 km/hr windspeed
Sector: #159 34% exposure, 26 km/hr windspeed
Sector: #159 34% exposure, 45 km/hr windspeed
Sector: #160 49% exposure, 24 km/hr windspeed
Sector: #160 46% exposure, 26 km/hr windspeed
Sector: #160 51% exposure, 43 km/hr windspeed
Sector: #161 1% exposure, 24 km/hr windspeed
Sector: #161 8% exposure, 70 km/hr windspeed
Sector: #162 98% exposure, 28 km/hr windspeed
Sector: #162 94% exposure, 7 km/hr windspeed
Sector: #162 90% exposure, 27 km/hr windspeed
Sector: #162 65% exposure, 39 km/hr windspeed
Sector: #163 23% exposure, 43 km/hr windspeed
Sector: #163 10% exposure, 15 km/hr windspeed
Sector: #163 83% exposure, 24 km/hr windspeed
Sector: #163 9% exposure, 42 km/hr windspeed
Sector: #164 40% exposure, 11 km/hr windspeed
Sector: #165 86% exposure, 5 km/hr windspeed
Sector: #165 5% exposure, 17 km/hr windspeed
Sector: #165 2% exposure, 20 km/hr windspeed
Sector: #166 9% exposure, 33 km/hr windspeed
Sector: #167 22% exposure, 21 km/hr windspeed
Sector: #167 61% exposure, 39 km/hr windspeed
Sector: #167 41% exposure, 44 km/hr windspeed
Sector: #168 91% exposure, 43 km/hr windspeed
Sector: #168 21% exposure, 53 km/hr windspeed
Sector: #168 93% exposure, 24 km/hr windspeed
Sector: #168 78% exposure, 29 km/hr windspeed
Sector: #168 8% exposure, 27 km/hr windspeed
Sector: #172 83% exposure, 3 km/hr windspeed
Sector: #173 24% exposure, 27 km/hr windspeed
Sector: #173 70% exposure, 25 km/hr windspeed
Sector: #173 60% exposure, 20 km/hr windspeed
Sector: #173 72% exposure, 37 km/hr windspeed
Sector: #174 4% exposure, 24 km/hr windspeed
Sector: #174 81% exposure, 17 km/hr windspeed
Sector: #174 59% exposure, 39 km/hr windspeed
Sector: #174 47% exposure, 32 km/hr windspeed
Sector: #175 78% exposure, 42 km/hr windspeed
Sector: #175 19% exposure, 3 km/hr windspeed
Sector: #176 47% exposure, 24 km/hr windspeed
Sector: #177 90% exposure, 20 km/hr windspeed
Sector: #177 84% exposure, 24 km/hr windspeed
Sector: #178 7% exposure, 54 km/hr windspeed
Sector: #179 42% exposure, 45 km/hr windspeed
Sector: #179 36% exposure, 9 km/hr windspeed
Sector: #179 89% exposure, 36 km/hr windspeed
Sector: #179 90% exposure, 35 km/hr windspeed
Sector: #179 99% exposure, 46 km/hr windspeed
Sector: #179 92% exposure, 45 km/hr windspeed
Sector: #179 30% exposure, 24 km/hr windspeed
Sector: #180 14% exposure, 4 km/hr windspeed
Sector: #181 78% exposure, 46 km/hr windspeed
Sector: #182 17% exposure, 10 km/hr windspeed
Sector: #182 37% exposure, 19 km/hr windspeed
Sector: #185 10% exposure, 12 km/hr windspeed
Sector: #185 93% exposure, 20 km/hr windspeed
Sector: #185 71% exposure, 7 km/hr windspeed
Sector: #186 82% exposure, 19 km/hr windspeed
Sector: #186 81% exposure, 7 km/hr windspeed
Sector: #187 7% exposure, 13 km/hr windspeed
Sector: #187 23% exposure, 30 km/hr windspeed
Sector: #188 18% exposure, 27 km/hr windspeed
Sector: #189 23% exposure, 21 km/hr windspeed
Sector: #189 16% exposure, 50 km/hr windspeed
Sector: #189 25% exposure, 12 km/hr windspeed
Sector: #189 36% exposure, 12 km/hr windspeed
Sector: #189 62% exposure, 46 km/hr windspeed
Sector: #190 36% exposure, 28 km/hr windspeed
Sector: #190 93% exposure, 20 km/hr windspeed
Sector: #190 1% exposure, 37 km/hr windspeed
Sector: #191 82% exposure, 4 km/hr windspeed
Sector: #191 96% exposure, 19 km/hr windspeed
Sector: #192 59% exposure, 19 km/hr windspeed
Sector: #193 23% exposure, 14 km/hr windspeed
Sector: #193 58% exposure, 33 km/hr windspeed
Sector: #194 44% exposure, 20 km/hr windspeed
Sector: #194 44% exposure, 33 km/hr windspeed
Sector: #196 92% exposure, 41 km/hr windspeed
Sector: #196 88% exposure, 46 km/hr windspeed
Sector: #196 26% exposure, 43 km/hr windspeed
Sector: #197 22% exposure, 38 km/hr windspeed
Sector: #197 24% exposure, 31 km/hr windspeed
Sector: #197 94% exposure, 43 km/hr windspeed
Sector: #198 92% exposure, 12 km/hr windspeed
Sector: #199 21% exposure, 47 km/hr windspeed
Sector: #199 4% exposure, 39 km/hr windspeed
Sector: #199 19% exposure, 26 km/hr windspeed
Sector: #200 14% exposure, 28 km/hr windspeed
Sector: #201 30% exposure, 33 km/hr windspeed
Sector: #203 16% exposure, 34 km/hr windspeed
Sector: #203 73% exposure, 18 km/hr windspeed
Sector: #204 62% exposure, 20 km/hr windspeed
Sector: #204 65% exposure, 12 km/hr windspeed
Sector: #205 49% exposure, 46 km/hr windspeed
Sector: #206 8% exposure, 8 km/hr windspeed
Sector: #206 35% exposure, 50 km/hr windspeed
Sector: #207 48% exposure, 18 km/hr windspeed
Sector: #207 2% exposure, 15 km/hr windspeed
Sector: #208 15% exposure, 43 km/hr windspeed
Sector: #208 87% exposure, 38 km/hr windspeed
Sector: #209 52% exposure, 31 km/hr windspeed
Sector: #209 53% exposure, 49 km/hr windspeed
Sector: #210 69% exposure, 1 km/hr windspeed
Sector: #210 35% exposure, 43 km/hr windspeed
Sector: #210 10% exposure, 39 km/hr windspeed
Sector: #211 50% exposure, 34 km/hr windspeed
Sector: #211 71% exposure, 24 km/hr windspeed
Sector: #212 32% exposure, 17 km/hr windspeed
Sector: #212 27% exposure, 31 km/hr windspeed
Sector: #212 96% exposure, 15 km/hr windspeed
Sector: #212 41% exposure, 20 km/hr windspeed
Sector: #213 54% exposure, 13 km/hr windspeed
Sector: #213 74% exposure, 33 km/hr windspeed
Sector: #214 95% exposure, 28 km/hr windspeed
Sector: #214 23% exposure, 8 km/hr windspeed
Sector: #215 44% exposure, 11 km/hr windspeed
Sector: #215 78% exposure, 21 km/hr windspeed
Sector: #216 98% exposure, 32 km/hr windspeed
Sector: #216 4% exposure, 57 km/hr windspeed
Sector: #216 22% exposure, 18 km/hr windspeed
Sector: #216 87% exposure, 16 km/hr windspeed
Sector: #216 36% exposure, 36 km/hr windspeed
Sector: #216 31% exposure, 30 km/hr windspeed
Sector: #217 87% exposure, 41 km/hr windspeed
Sector: #217 80% exposure, 35 km/hr windspeed
Sector: #217 1% exposure, 8 km/hr windspeed
Sector: #218 84% exposure, 22 km/hr windspeed
Sector: #218 27% exposure, 19 km/hr windspeed
Sector: #218 11% exposure, 37 km/hr windspeed
Sector: #218 44% exposure, 28 km/hr windspeed
Sector: #218 81% exposure, 31 km/hr windspeed
Sector: #218 5% exposure, 30 km/hr windspeed
Sector: #219 3% exposure, 18 km/hr windspeed
Sector: #219 64% exposure, 34 km/hr windspeed
Sector: #219 81% exposure, 46 km/hr windspeed
Sector: #219 65% exposure, 1 km/hr windspeed
Sector: #222 61% exposure, 34 km/hr windspeed
Sector: #223 21% exposure, 39 km/hr windspeed
Sector: #224 74% exposure, 58 km/hr windspeed
Sector: #225 79% exposure, 20 km/hr windspeed
Sector: #225 1% exposure, 6 km/hr windspeed
Sector: #225 64% exposure, 15 km/hr windspeed
Sector: #225 91% exposure, 25 km/hr windspeed
Sector: #226 70% exposure, 12 km/hr windspeed
Sector: #226 58% exposure, 16 km/hr windspeed
Sector: #227 61% exposure, 33 km/hr windspeed
Sector: #227 31% exposure, 25 km/hr windspeed
Sector: #228 74% exposure, 12 km/hr windspeed
Sector: #228 80% exposure, 39 km/hr windspeed
Sector: #229 5% exposure, 15 km/hr windspeed
Sector: #230 88% exposure, 26 km/hr windspeed
Sector: #230 17% exposure, 28 km/hr windspeed
Sector: #230 34% exposure, 6 km/hr windspeed
Sector: #231 7% exposure, 48 km/hr windspeed
Sector: #231 10% exposure, 58 km/hr windspeed
Sector: #231 18% exposure, 30 km/hr windspeed
Sector: #232 53% exposure, 10 km/hr windspeed
Sector: #234 1% exposure, 22 km/hr windspeed
Sector: #234 98% exposure, 53 km/hr windspeed
Sector: #235 44% exposure, 61 km/hr windspeed
Sector: #235 38% exposure, 14 km/hr windspeed
Sector: #235 62% exposure, 17 km/hr windspeed
Sector: #236 98% exposure, 47 km/hr windspeed
Sector: #236 39% exposure, 30 km/hr windspeed
Sector: #236 23% exposure, 12 km/hr windspeed
Sector: #237 75% exposure, 51 km/hr windspeed
Sector: #237 60% exposure, 43 km/hr windspeed
Sector: #238 29% exposure, 31 km/hr windspeed
Sector: #240 13% exposure, 15 km/hr windspeed
Sector: #240 94% exposure, 30 km/hr windspeed
Sector: #241 38% exposure, 10 km/hr windspeed
Sector: #243 75% exposure, 10 km/hr windspeed
Sector: #243 60% exposure, 9 km/hr windspeed
Sector: #243 27% exposure, 8 km/hr windspeed
Sector: #244 92% exposure, 29 km/hr windspeed
Sector: #244 50% exposure, 18 km/hr windspeed
Sector: #246 64% exposure, 25 km/hr windspeed
Sector: #246 78% exposure, 18 km/hr windspeed
Sector: #246 57% exposure, 26 km/hr windspeed
Sector: #247 51% exposure, 16 km/hr windspeed
Sector: #248 27% exposure, 19 km/hr windspeed
Sector: #248 30% exposure, 40 km/hr windspeed
Sector: #248 59% exposure, 42 km/hr windspeed
Sector: #249 53% exposure, 13 km/hr windspeed
Sector: #249 88% exposure, 6 km/hr windspeed
Sector: #250 35% exposure, 45 km/hr windspeed
Sector: #250 6% exposure, 41 km/hr windspeed
Sector: #252 8% exposure, 38 km/hr windspeed
Sector: #253 29% exposure, 54 km/hr windspeed
Sector: #253 94% exposure, 49 km/hr windspeed
Sector: #254 79% exposure, 4 km/hr windspeed
Sector: #254 50% exposure, 13 km/hr windspeed
Sector: #254 52% exposure, 25 km/hr windspeed
Sector: #254 40% exposure, 40 km/hr windspeed
Sector: #255 42% exposure, 24 km/hr windspeed
Sector: #257 27% exposure, 47 km/hr windspeed
Sector: #258 52% exposure, 30 km/hr windspeed
Sector: #258 84% exposure, 7 km/hr windspeed
Sector: #259 22% exposure, 24 km/hr windspeed
Sector: #259 100% exposure, 6 km/hr windspeed
Sector: #260 52% exposure, 2 km/hr windspeed
Sector: #260 75% exposure, 11 km/hr windspeed
Sector: #260 14% exposure, 13 km/hr windspeed
Sector: #260 50% exposure, 18 km/hr windspeed
Sector: #261 28% exposure, 13 km/hr windspeed
Sector: #261 30% exposure, 22 km/hr windspeed
Sector: #261 91% exposure, 31 km/hr windspeed
Sector: #261 64% exposure, 5 km/hr windspeed
Sector: #263 24% exposure, 2 km/hr windspeed
Sector: #263 81% exposure, 58 km/hr windspeed
Sector: #264 9% exposure, 2 km/hr windspeed
Sector: #264 8% exposure, 12 km/hr windspeed
Sector: #265 72% exposure, 29 km/hr windspeed
Sector: #265 84% exposure, 32 km/hr windspeed
Sector: #266 13% exposure, 34 km/hr windspeed
Sector: #267 61% exposure, 36 km/hr windspeed
Sector: #267 33% exposure, 27 km/hr windspeed
Sector: #270 3% exposure, 22 km/hr windspeed
Sector: #270 44% exposure, 53 km/hr windspeed
Sector: #270 7% exposure, 29 km/hr windspeed
Sector: #271 90% exposure, 36 km/hr windspeed
Sector: #271 56% exposure, 45 km/hr windspeed
Sector: #272 17% exposure, 24 km/hr windspeed
Sector: #272 97% exposure, 40 km/hr windspeed
Sector: #272 40% exposure, 30 km/hr windspeed
Sector: #272 99% exposure, 8 km/hr windspeed
Sector: #273 30% exposure, 8 km/hr windspeed
Sector: #273 74% exposure, 21 km/hr windspeed
Sector: #274 57% exposure, 17 km/hr windspeed
Sector: #274 98% exposure, 19 km/hr windspeed
Sector: #275 51% exposure, 55 km/hr windspeed
Sector: #276 63% exposure, 16 km/hr windspeed
Sector: #276 25% exposure, 25 km/hr windspeed
