----------------------------------------------------------------------
Data values
----------------------------------------------------------------------
Data by Sector
Sector: #1 35% exposure, 58 km/hr windspeed
Sector: #7 12% exposure, 19 km/hr windspeed
Sector: #7 8% exposure, 33 km/hr windspeed
Sector: #7 82% exposure, 8 km/hr windspeed
Sector: #7 29% exposure, 11 km/hr windspeed
Sector: #7 88% exposure, 45 km/hr windspeed
Sector: #7 84% exposure, 35 km/hr windspeed
Sector: #7 63% exposure, 39 km/hr windspeed
Sector: #7 45% exposure, 6 km/hr windspeed
Sector: #7 80% exposure, 31 km/hr windspeed
Sector: #8 99% exposure, 6 km/hr windspeed
Sector: #8 48% exposure, 13 km/hr windspeed
Sector: #8 19% exposure, 48 km/hr windspeed
Sector: #8 59% exposure, 38 km/hr windspeed
Sector: #8 17% exposure, 34 km/hr windspeed
Sector: #8 36% exposure, 12 km/hr windspeed
Sector: #8 19% exposure, 15 km/hr windspeed
Sector: #8 92% exposure, 29 km/hr windspeed
Sector: #8 93% exposure, 8 km/hr windspeed
Sector: #8 45% exposure, 37 km/hr windspeed
Sector: #8 26% exposure, 64 km/hr windspeed
Sector: #8 54% exposure, 19 km/hr windspeed
Sector: #8 89% exposure, 10 km/hr windspeed
Sector: #8 95% exposure, 10 km/hr windspeed
Sector: #9 94% exposure, 16 km/hr windspeed
Sector: #9 99% exposure, 49 km/hr windspeed
Sector: #9 92% exposure, 14 km/hr windspeed
Sector: #9 34% exposure, 9 km/hr windspeed
Sector: #9 59% exposure, 31 km/hr windspeed
Sector: #9 55% exposure, 7 km/hr windspeed
Sector: #9 79% exposure, 7 km/hr windspeed
Sector: #9 11% exposure, 55 km/hr windspeed
Sector: #9 93% exposure, 10 km/hr windspeed
Sector: #9 22% exposure, 29 km/hr windspeed
Sector: #9 100% exposure, 6 km/hr windspeed
Sector: #9 99% exposure, 16 km/hr windspeed
Sector: #9 94% exposure, 3 km/hr windspeed
Sector: #9 33% exposure, 32 km/hr windspeed
Sector: #9 30% exposure, 6 km/hr windspeed
Sector: #9 58% exposure, 4 km/hr windspeed
Sector: #9 87% exposure, 34 km/hr windspeed
Sector: #10 95% exposure, 15 km/hr windspeed
Sector: #10 61% exposure, 48 km/hr windspeed
Sector: #10 6% exposure, 26 km/hr windspeed
Sector: #10 1% exposure, 2 km/hr windspeed
Sector: #10 2% exposure, 24 km/hr windspeed
Sector: #10 19% exposure, 25 km/hr windspeed
Sector: #10 13% exposure, 6 km/hr windspeed
Sector: #10 65% exposure, 37 km/hr windspeed
Sector: #10 6% exposure, 23 km/hr windspeed
Sector: #10 89% exposure, 54 km/hr windspeed
Sector: #10 42% exposure, 19 km/hr windspeed
Sector: #10 80% exposure, 54 km/hr windspeed
Sector: #10 8% exposure, 24 km/hr windspeed
Sector: #10 39% exposure, 53 km/hr windspeed
Sector: #10 7% exposure, 25 km/hr windspeed
Sector: #10 26% exposure, 7 km/hr windspeed
Sector: #11 31% exposure, 40 km/hr windspeed
Sector: #11 94% exposure, 43 km/hr windspeed
Sector: #11 70% exposure, 9 km/hr windspeed
Sector: #11 74% exposure, 47 km/hr windspeed
Sector: #11 63% exposure, 33 km/hr windspeed
Sector: #11 65% exposure, 35 km/hr windspeed
Sector: #11 46% exposure, 34 km/hr windspeed
Sector: #11 10% exposure, 21 km/hr windspeed
Sector: #11 76% exposure, 25 km/hr windspeed
Sector: #11 85% exposure, 25 km/hr windspeed
Sector: #11 25% exposure, 13 km/hr windspeed
Sector: #11 64% exposure, 4 km/hr windspeed
Sector: #11 46% exposure, 8 km/hr windspeed
Sector: #11 99% exposure, 36 km/hr windspeed
Sector: #11 91% exposure, 33 km/hr windspeed
Sector: #11 89% exposure, 19 km/hr windspeed
Sector: #11 25% exposure, 30 km/hr windspeed
Sector: #11 48% exposure, 5 km/hr windspeed
Sector: #11 6% exposure, 14 km/hr windspeed
Sector: #12 87% exposure, 45 km/hr windspeed
Sector: #12 2% exposure, 28 km/hr windspeed
Sector: #12 78% exposure, 51 km/hr windspeed
Sector: #12 80% exposure, 14 km/hr windspeed
Sector: #12 63% exposure, 43 km/hr windspeed
Sector: #12 59% exposure, 21 km/hr windspeed
Sector: #12 3% exposure, 55 km/hr windspeed
Sector: #12 68% exposure, 19 km/hr windspeed
Sector: #12 11% exposure, 29 km/hr windspeed
Sector: #12 79% exposure, 6 km/hr windspeed
Sector: #12 75% exposure, 25 km/hr windspeed
Sector: #12 1% exposure, 2 km/hr windspeed
Sector: #12 38% exposure, 25 km/hr windspeed
Sector: #12 8% exposure, 20 km/hr windspeed
Sector: #12 17% exposure, 4 km/hr windspeed
Sector: #12 35% exposure, 12 km/hr windspeed
Sector: #12 90% exposure, 55 km/hr windspeed
Sector: #12 57% exposure, 22 km/hr windspeed
Sector: #12 51% exposure, 45 km/hr windspeed
Sector: #12 84% exposure, 47 km/hr windspeed
Sector: #12 40% exposure, 12 km/hr windspeed
Sector: #13 22% exposure, 13 km/hr windspeed
Sector: #13 50% exposure, 66 km/hr windspeed
Sector: #13 50% exposure, 25 km/hr windspeed
Sector: #13 27% exposure, 31 km/hr windspeed
Sector: #13 34% exposure, 17 km/hr windspeed
Sector: #13 74% exposure, 30 km/hr windspeed
Sector: #13 26% exposure, 53 km/hr windspeed
Sector: #13 87% exposure, 26 km/hr windspeed
Sector: #13 98% exposure, 43 km/hr windspeed
Sector: #13 44% exposure, 11 km/hr windspeed
Sector: #13 37% exposure, 2 km/hr windspeed
Sector: #13 40% exposure, 21 km/hr windspeed
Sector: #13 100% exposure, 12 km/hr windspeed
Sector: #13 70% exposure, 29 km/hr windspeed
Sector: #13 5% exposure, 44 km/hr windspeed
Sector: #13 2% exposure, 21 km/hr windspeed
Sector: #13 58% exposure, 32 km/hr windspeed
Sector: #13 21% exposure, 53 km/hr windspeed
Sector: #13 52% exposure, 36 km/hr windspeed
Sector: #13 87% exposure, 19 km/hr windspeed
Sector: #13 59% exposure, 33 km/hr windspeed
Sector: #14 45% exposure, 25 km/hr windspeed
Sector: #14 5% exposure, 18 km/hr windspeed
Sector: #14 11% exposure, 30 km/hr windspeed
Sector: #14 13% exposure, 22 km/hr windspeed
Sector: #14 80% exposure, 32 km/hr windspeed
Sector: #14 89% exposure, 27 km/hr windspeed
Sector: #14 77% exposure, 16 km/hr windspeed
Sector: #14 41% exposure, 21 km/hr windspeed
Sector: #14 39% exposure, 18 km/hr windspeed
Sector: #14 11% exposure, 47 km/hr windspeed
Sector: #14 30% exposure, 12 km/hr windspeed
Sector: #14 53% exposure, 19 km/hr windspeed
Sector: #14 24% exposure, 8 km/hr windspeed
Sector: #14 38% exposure, 10 km/hr windspeed
Sector: #14 15% exposure, 30 km/hr windspeed
Sector: #14 90% exposure, 29 km/hr windspeed
Sector: #14 9% exposure, 43 km/hr windspeed
Sector: #14 89% exposure, 43 km/hr windspeed
Sector: #14 69% exposure, 12 km/hr windspeed
Sector: #14 45% exposure, 48 km/hr windspeed
Sector: #14 21% exposure, 5 km/hr windspeed
Sector: #14 98% exposure, 28 km/hr windspeed
Sector: #15 81% exposure, 5 km/hr windspeed
Sector: #15 70% exposure, 16 km/hr windspeed
Sector: #15 28% exposure, 18 km/hr windspeed
Sector: #15 22% exposure, 24 km/hr windspeed
Sector: #15 38% exposure, 40 km/hr windspeed
Sector: #15 69% exposure, 26 km/hr windspeed
Sector: #15 26% exposure, 32 km/hr windspeed
Sector: #15 34% exposure, 16 km/hr windspeed
Sector: #15 81% exposure, 1 km/hr windspeed
Sector: #15 68% exposure, 46 km/hr windspeed
Sector: #15 51% exposure, 13 km/hr windspeed
Sector: #15 38% exposure, 25 km/hr windspeed
Sector: #16 8% exposure, 41 km/hr windspeed
Sector: #16 23% exposure, 27 km/hr windspeed
Sector: #16 57% exposure, 18 km/hr windspeed
Sector: #16 55% exposure, 3 km/hr windspeed
Sector: #16 61% exposure, 16 km/hr windspeed
Sector: #16 100% exposure, 59 km/hr windspeed
Sector: #16 74% exposure, 14 km/hr windspeed
Sector: #16 10% exposure, 54 km/hr windspeed
Sector: #16 2% exposure, 14 km/hr windspeed
Sector: #16 44% exposure, 47 km/hr windspeed
Sector: #16 44% exposure, 9 km/hr windspeed
Sector: #16 18% exposure, 23 km/hr windspeed
Sector: #16 98% exposure, 24 km/hr windspeed
Sector: #16 100% exposure, 19 km/hr windspeed
Sector: #16 1% exposure, 59 km/hr windspeed
Sector: #16 42% exposure, 10 km/hr windspeed
Sector: #16 56% exposure, 7 km/hr windspeed
Sector: #16 82% exposure, 21 km/hr windspeed
Sector: #16 90% exposure, 23 km/hr windspeed
Sector: #16 8% exposure, 28 km/hr windspeed
Sector: #17 40% exposure, 26 km/hr windspeed
Sector: #17 81% exposure, 19 km/hr windspeed
Sector: #17 95% exposure, 12 km/hr windspeed
Sector: #17 78% exposure, 45 km/hr windspeed
Sector: #17 37% exposure, 24 km/hr windspeed
Sector: #17 42% exposure, 36 km/hr windspeed
Sector: #17 46% exposure, 2 km/hr windspeed
Sector: #17 79% exposure, 32 km/hr windspeed
Sector: #17 69% exposure, 24 km/hr windspeed
Sector: #17 44% exposure, 48 km/hr windspeed
Sector: #17 78% exposure, 9 km/hr windspeed
Sector: #17 53% exposure, 16 km/hr windspeed
Sector: #17 85% exposure, 21 km/hr windspeed
Sector: #17 90% exposure, 53 km/hr windspeed
Sector: #17 23% exposure, 1 km/hr windspeed
Sector: #17 29% exposure, 32 km/hr windspeed
Sector: #17 25% exposure, 25 km/hr windspeed
Sector: #17 74% exposure, 35 km/hr windspeed
Sector: #17 92% exposure, 23 km/hr windspeed
Sector: #18 48% exposure, 11 km/hr windspeed
Sector: #18 12% exposure, 2 km/hr windspeed
Sector: #18 80% exposure, 57 km/hr windspeed
Sector: #18 78% exposure, 43 km/hr windspeed
Sector: #18 90% exposure, 45 km/hr windspeed
Sector: #18 89% exposure, 12 km/hr windspeed
Sector: #18 24% exposure, 35 km/hr windspeed
Sector: #18 71% exposure, 14 km/hr windspeed
Sector: #18 82% exposure, 12 km/hr windspeed
Sector: #18 77% exposure, 34 km/hr windspeed
Sector: #18 92% exposure, 32 km/hr windspeed
Sector: #18 71% exposure, 5 km/hr windspeed
Sector: #18 58% exposure, 65 km/hr windspeed
Sector: #18 89% exposure, 44 km/hr windspeed
Sector: #18 40% exposure, 22 km/hr windspeed
Sector: #18 16% exposure, 51 km/hr windspeed
Sector: #18 45% exposure, 54 km/hr windspeed
Sector: #18 64% exposure, 14 km/hr windspeed
Sector: #18 31% exposure, 70 km/hr windspeed
Sector: #19 60% exposure, 30 km/hr windspeed
Sector: #19 40% exposure, 4 km/hr windspeed
Sector: #19 35% exposure, 53 km/hr windspeed
Sector: #19 63% exposure, 4 km/hr windspeed
Sector: #19 72% exposure, 14 km/hr windspeed
Sector: #19 35% exposure, 35 km/hr windspeed
Sector: #19 46% exposure, 21 km/hr windspeed
Sector: #19 88% exposure, 6 km/hr windspeed
Sector: #19 94% exposure, 33 km/hr windspeed
Sector: #19 75% exposure, 39 km/hr windspeed
Sector: #19 24% exposure, 50 km/hr windspeed
Sector: #19 27% exposure, 19 km/hr windspeed
Sector: #19 34% exposure, 26 km/hr windspeed
Sector: #19 84% exposure, 27 km/hr windspeed
Sector: #19 96% exposure, 28 km/hr windspeed
Sector: #19 20% exposure, 42 km/hr windspeed
Sector: #19 34% exposure, 14 km/hr windspeed
Sector: #19 97% exposure, 6 km/hr windspeed
Sector: #19 65% exposure, 43 km/hr windspeed
Sector: #19 18% exposure, 23 km/hr windspeed
Sector: #19 26% exposure, 56 km/hr windspeed
Sector: #19 71% exposure, 7 km/hr windspeed
Sector: #21 10% exposure, 18 km/hr windspeed
Sector: #21 74% exposure, 24 km/hr windspeed
Sector: #21 85% exposure, 10 km/hr windspeed
Sector: #21 68% exposure, 49 km/hr windspeed
Sector: #21 5% exposure, 32 km/hr windspeed
Sector: #21 12% exposure, 8 km/hr windspeed
Sector: #21 34% exposure, 15 km/hr windspeed
Sector: #21 15% exposure, 22 km/hr windspeed
Sector: #21 75% exposure, 61 km/hr windspeed
Sector: #21 42% exposure, 3 km/hr windspeed
Sector: #21 23% exposure, 34 km/hr windspeed
Sector: #21 51% exposure, 34 km/hr windspeed
Sector: #21 61% exposure, 15 km/hr windspeed
Sector: #21 14% exposure, 39 km/hr windspeed
Sector: #21 55% exposure, 54 km/hr windspeed
Sector: #21 18% exposure, 40 km/hr windspeed
Sector: #21 92% exposure, 51 km/hr windspeed
Sector: #21 24% exposure, 60 km/hr windspeed
Sector: #21 74% exposure, 22 km/hr windspeed
Sector: #21 92% exposure, 2 km/hr windspeed
Sector: #21 45% exposure, 18 km/hr windspeed
Sector: #22 24% exposure, 7 km/hr windspeed
Sector: #22 40% exposure, 7 km/hr windspeed
Sector: #22 24% exposure, 58 km/hr windspeed
Sector: #22 17% exposure, 14 km/hr windspeed
Sector: #22 19% exposure, 19 km/hr windspeed
Sector: #22 72% exposure, 36 km/hr windspeed
Sector: #22 19% exposure, 42 km/hr windspeed
Sector: #22 12% exposure, 30 km/hr windspeed
Sector: #22 94% exposure, 49 km/hr windspeed
Sector: #22 58% exposure, 18 km/hr windspeed
Sector: #22 54% exposure, 41 km/hr windspeed
Sector: #22 17% exposure, 21 km/hr windspeed
Sector: #22 1% exposure, 58 km/hr windspeed
Sector: #22 91% exposure, 39 km/hr windspeed
Sector: #22 77% exposure, 33 km/hr windspeed
Sector: #22 100% exposure, 18 km/hr windspeed
Sector: #22 7% exposure, 13 km/hr windspeed
Sector: #22 91% exposure, 40 km/hr windspeed
Sector: #22 4% exposure, 11 km/hr windspeed
Sector: #23 18% exposure, 36 km/hr windspeed
Sector: #23 90% exposure, 45 km/hr windspeed
Sector: #23 61% exposure, 31 km/hr windspeed
Sector: #23 40% exposure, 35 km/hr windspeed
Sector: #23 2% exposure, 34 km/hr windspeed
Sector: #23 78% exposure, 61 km/hr windspeed
Sector: #23 55% exposure, 5 km/hr windspeed
Sector: #23 91% exposure, 2 km/hr windspeed
Sector: #23 3% exposure, 33 km/hr windspeed
Sector: #23 45% exposure, 3 km/hr windspeed
Sector: #23 71% exposure, 21 km/hr windspeed
Sector: #23 88% exposure, 33 km/hr windspeed
Sector: #23 88% exposure, 26 km/hr windspeed
Sector: #23 12% exposure, 29 km/hr windspeed
Sector: #24 16% exposure, 26 km/hr windspeed
Sector: #24 51% exposure, 26 km/hr windspeed
Sector: #24 44% exposure, 21 km/hr windspeed
Sector: #24 20% exposure, 12 km/hr windspeed
Sector: #24 21% exposure, 23 km/hr windspeed
Sector: #24 25% exposure, 33 km/hr windspeed
Sector: #24 1% exposure, 29 km/hr windspeed
Sector: #24 53% exposure, 20 km/hr windspeed
Sector: #24 60% exposure, 49 km/hr windspeed
Sector: #24 70% exposure, 29 km/hr windspeed
Sector: #24 36% exposure, 40 km/hr windspeed
Sector: #24 57% exposure, 20 km/hr windspeed
Sector: #24 87% exposure, 43 km/hr windspeed
Sector: #24 30% exposure, 3 km/hr windspeed
Sector: #24 53% exposure, 37 km/hr windspeed
Sector: #24 96% exposure, 13 km/hr windspeed
Sector: #24 65% exposure, 18 km/hr windspeed
Sector: #24 20% exposure, 26 km/hr windspeed
Sector: #24 51% exposure, 33 km/hr windspeed
Sector: #24 3% exposure, 28 km/hr windspeed
Sector: #24 98% exposure, 21 km/hr windspeed
Sector: #24 53% exposure, 32 km/hr windspeed
Sector: #24 53% exposure, 20 km/hr windspeed
Sector: #24 26% exposure, 1 km/hr windspeed
Sector: #24 56% exposure, 40 km/hr windspeed
Sector: #24 97% exposure, 63 km/hr windspeed
Sector: #24 25% exposure, 52 km/hr windspeed
Sector: #24 2% exposure, 22 km/hr windspeed
Sector: #24 52% exposure, 31 km/hr windspeed
Sector: #25 72% exposure, 39 km/hr windspeed
Sector: #25 27% exposure, 23 km/hr windspeed
Sector: #25 31% exposure, 59 km/hr windspeed
Sector: #25 66% exposure, 15 km/hr windspeed
Sector: #25 21% exposure, 33 km/hr windspeed
Sector: #25 22% exposure, 27 km/hr windspeed
Sector: #25 76% exposure, 29 km/hr windspeed
Sector: #25 1% exposure, 43 km/hr windspeed
Sector: #25 12% exposure, 38 km/hr windspeed
Sector: #25 8% exposure, 47 km/hr windspeed
Sector: #25 46% exposure, 11 km/hr windspeed
Sector: #25 26% exposure, 42 km/hr windspeed
Sector: #25 15% exposure, 22 km/hr windspeed
Sector: #25 63% exposure, 17 km/hr windspeed
Sector: #25 53% exposure, 19 km/hr windspeed
Sector: #25 90% exposure, 10 km/hr windspeed
Sector: #26 75% exposure, 59 km/hr windspeed
Sector: #26 21% exposure, 44 km/hr windspeed
Sector: #26 96% exposure, 41 km/hr windspeed
Sector: #26 64% exposure, 17 km/hr windspeed
Sector: #26 48% exposure, 10 km/hr windspeed
Sector: #26 27% exposure, 38 km/hr windspeed
Sector: #26 46% exposure, 14 km/hr windspeed
Sector: #26 87% exposure, 55 km/hr windspeed
Sector: #26 23% exposure, 21 km/hr windspeed
Sector: #26 3% exposure, 17 km/hr windspeed
Sector: #26 91% exposure, 43 km/hr windspeed
Sector: #26 13% exposure, 21 km/hr windspeed
Sector: #26 39% exposure, 8 km/hr windspeed
Sector: #26 3% exposure, 55 km/hr windspeed
Sector: #26 3% exposure, 18 km/hr windspeed
Sector: #26 69% exposure, 38 km/hr windspeed
Sector: #26 44% exposure, 39 km/hr windspeed
Sector: #26 68% exposure, 5 km/hr windspeed
Sector: #26 84% exposure, 27 km/hr windspeed
Sector: #27 48% exposure, 10 km/hr windspeed
Sector: #27 97% exposure, 59 km/hr windspeed
Sector: #27 28% exposure, 29 km/hr windspeed
Sector: #27 44% exposure, 26 km/hr windspeed
Sector: #27 60% exposure, 26 km/hr windspeed
Sector: #27 65% exposure, 36 km/hr windspeed
Sector: #27 98% exposure, 6 km/hr windspeed
Sector: #27 6% exposure, 11 km/hr windspeed
Sector: #27 90% exposure, 39 km/hr windspeed
Sector: #27 83% exposure, 7 km/hr windspeed
Sector: #27 49% exposure, 36 km/hr windspeed
Sector: #27 57% exposure, 47 km/hr windspeed
Sector: #27 12% exposure, 36 km/hr windspeed
Sector: #27 36% exposure, 34 km/hr windspeed
Sector: #28 88% exposure, 5 km/hr windspeed
Sector: #28 28% exposure, 41 km/hr windspeed
Sector: #28 56% exposure, 58 km/hr windspeed
Sector: #28 41% exposure, 3 km/hr windspeed
Sector: #28 60% exposure, 40 km/hr windspeed
Sector: #28 40% exposure, 55 km/hr windspeed
Sector: #28 51% exposure, 46 km/hr windspeed
Sector: #28 41% exposure, 37 km/hr windspeed
Sector: #28 93% exposure, 50 km/hr windspeed
Sector: #28 55% exposure, 18 km/hr windspeed
Sector: #28 70% exposure, 25 km/hr windspeed
Sector: #28 44% exposure, 35 km/hr windspeed
Sector: #28 13% exposure, 33 km/hr windspeed
Sector: #28 63% exposure, 18 km/hr windspeed
Sector: #28 35% exposure, 21 km/hr windspeed
Sector: #28 55% exposure, 59 km/hr windspeed
Sector: #28 14% exposure, 32 km/hr windspeed
Sector: #28 67% exposure, 58 km/hr windspeed
Sector: #28 39% exposure, 11 km/hr windspeed
Sector: #29 54% exposure, 14 km/hr windspeed
Sector: #29 50% exposure, 57 km/hr windspeed
Sector: #29 2% exposure, 16 km/hr windspeed
Sector: #29 57% exposure, 10 km/hr windspeed
Sector: #29 94% exposure, 13 km/hr windspeed
Sector: #29 34% exposure, 35 km/hr windspeed
Sector: #29 63% exposure, 59 km/hr windspeed
Sector: #29 60% exposure, 52 km/hr windspeed
Sector: #29 60% exposure, 12 km/hr windspeed
Sector: #29 80% exposure, 38 km/hr windspeed
Sector: #29 13% exposure, 24 km/hr windspeed
Sector: #29 73% exposure, 21 km/hr windspeed
Sector: #29 50% exposure, 29 km/hr windspeed
Sector: #29 68% exposure, 4 km/hr windspeed
Sector: #29 76% exposure, 45 km/hr windspeed
Sector: #29 12% exposure, 26 km/hr windspeed
Sector: #29 15% exposure, 55 km/hr windspeed
Sector: #29 49% exposure, 12 km/hr windspeed
Sector: #29 100% exposure, 44 km/hr windspeed
Sector: #30 56% exposure, 40 km/hr windspeed
Sector: #30 63% exposure, 25 km/hr windspeed
Sector: #30 85% exposure, 4 km/hr windspeed
